!PV&!ttCapture&priorCapture Diff #1010: Total 230971/224509 Hits 194469/186297 Diff Rate (%) -1.21654
!PV&!ttCapture&ss->inCheck Diff #1010: Total 103215/98123 Hits 89782/84146 Diff Rate (%) -1.22979
!PV&!(ss+1)->cutoffCnt>2&!improving Diff #1000: Total 429250/409457 Hits 383082/360237 Diff Rate (%) -1.26529
!PV&ttCapture&improving Diff #1110: Total 85910/82210 Hits 72339/68172 Diff Rate (%) -1.27902
!PV&ttCapture&!(ss+1)->cutoffCnt>2 Diff #1100: Total 90658/86489 Hits 79621/74842 Diff Rate (%) -1.29213
!PV&!improving Diff #1050: Total 491945/468757 Hits 429481/403146 Diff Rate (%) -1.29945
!PV&ttCapture&!capture Diff #1100: Total 101185/96175 Hits 85225/79752 Diff Rate (%) -1.30307
!PV&priorCapture&!givesCheck Diff #1100: Total 218603/210822 Hits 184489/175088 Diff Rate (%) -1.34439
!PV&!ttCapture&!improving Diff #1000: Total 443751/422754 Hits 387661/363620 Diff Rate (%) -1.34783
!PV&!givesCheck&!improving Diff #1000: Total 427545/404991 Hits 373282/348110 Diff Rate (%) -1.35324
!PV&priorCapture&improving Diff #1110: Total 161530/156242 Hits 130680/124235 Diff Rate (%) -1.38691
!PV&!priorCapture&!improving Diff #1000: Total 390206/369432 Hits 338084/314894 Diff Rate (%) -1.4051
!PV&(ss+1)->cutoffCnt>2&capture Diff #1110: Total 30770/29560 Hits 24557/23174 Diff Rate (%) -1.41177
!(ss+1)->cutoffCnt>2 Diff #1050: Total 1467977/1415527 Hits 1260162/1195006 Diff Rate (%) -1.42216
!PV&!ttCapture&!(ss+1)->cutoffCnt>2 Diff #1000: Total 1377319/1329038 Hits 1180541/1120164 Diff Rate (%) -1.42915
!PV&!(ss+1)->cutoffCnt>2&!ss->inCheck Diff #1000: Total 1368300/1320978 Hits 1172142/1112542 Diff Rate (%) -1.44302
!PV&!(ss+1)->cutoffCnt>2&improving Diff #1010: Total 1038727/1006070 Hits 877080/834769 Diff Rate (%) -1.46472
!PV&!(ss+1)->cutoffCnt>2&!priorCapture Diff #1000: Total 1232671/1186564 Hits 1056475/999488 Diff Rate (%) -1.47236
!PV&!ss->inCheck Diff #1050: Total 1831391/1769429 Hits 1502032/1424392 Diff Rate (%) -1.51582
!ttCapture Diff #1050: Total 1807320/1745762 Hits 1483734/1406532 Diff Rate (%) -1.52744
!PV&!(ss+1)->cutoffCnt>2&!givesCheck Diff #1000: Total 1260855/1210508 Hits 1084945/1023104 Diff Rate (%) -1.52979
!PV&priorCapture&!capture Diff #1100: Total 187681/180794 Hits 152698/144325 Diff Rate (%) -1.53197
!PV&!ttCapture&!ss->inCheck Diff #1000: Total 1704105/1647639 Hits 1393952/1322386 Diff Rate (%) -1.5402
!PV&improving Diff #1150: Total 1449479/1405218 Hits 1168412/1111084 Diff Rate (%) -1.54066
!priorCapture Diff #1050: Total 1678155/1618408 Hits 1375816/1301743 Diff Rate (%) -1.5503
!PV&!(ss+1)->cutoffCnt>2&!capture Diff #1000: Total 1296559/1247311 Hits 1103086/1041847 Diff Rate (%) -1.55052
!PV&!ttCapture&improving Diff #1010: Total 1363569/1323008 Hits 1096073/1042912 Diff Rate (%) -1.55381
!PV&!priorCapture&improving Diff #1010: Total 1287949/1248976 Hits 1037732/986849 Diff Rate (%) -1.5598
